day fajr sunrise dhuhr asr maghrib isha
1 5:54 7:36 12:38 14:47 17:17 18:53
2 5:55 7:38 12:38 14:46 17:15 18:52
3 5:57 7:40 12:38 14:45 17:13 18:50
4 5:58 7:41 12:38 14:43 17:11 18:48
5 6:00 7:43 12:38 14:42 17:09 18:47
6 6:01 7:45 12:38 14:41 17:08 18:46
7 6:03 7:47 12:38 14:39 17:06 18:44
8 6:05 7:49 12:38 14:38 17:04 18:43
9 6:06 7:51 12:38 14:37 17:03 18:41
10 6:08 7:52 12:38 14:35 17:01 18:40
11 6:09 7:54 12:38 14:34 17:00 18:39
12 6:11 7:56 12:38 14:33 16:58 18:38
13 6:12 7:58 12:38 14:32 16:57 18:36
14 6:14 8:00 12:38 14:31 16:55 18:35
15 6:15 8:01 12:38 14:31 16:54 18:34
16 6:17 8:03 12:38 14:31 16:53 18:33
17 6:18 8:05 12:38 14:31 16:51 18:32
18 6:20 8:07 12:38 14:31 16:50 18:31
19 6:21 8:08 12:38 14:31 16:49 18:30
20 6:22 8:10 12:38 14:31 16:48 18:29
21 6:24 8:12 12:38 14:31 16:46 18:28
22 6:25 8:13 12:38 14:31 16:45 18:27
23 6:27 8:15 12:38 14:31 16:44 18:27
24 6:28 8:17 12:38 14:31 16:43 18:26
25 6:29 8:18 12:38 14:31 16:42 18:25
26 6:31 8:20 12:38 14:31 16:41 18:24
27 6:32 8:22 12:38 14:31 16:40 18:24
28 6:33 8:23 12:38 14:31 16:40 18:23
29 6:35 8:25 12:38 14:31 16:39 18:23
30 6:36 6:26 12:38 14:31 16:38 18:22
